# ชุดคำถามสำหรับทดสอบระบบ RAG

1. วัตถุดิบหลักในการทำต้มยำกุ้งมีอะไรบ้าง?
2. วิธีการทำผัดไทยมีขั้นตอนอย่างไร?
3. แกงเขียวหวานมีประวัติความเป็นมาอย่างไร?
4. ทำไมส้มตำไทยถึงมีรสชาติต่างจากส้มตำลาว?
5. ข่ามีสรรพคุณทางยาอย่างไรบ้าง?
6. พริกแกงมัสมั่นมีส่วนประกอบพิเศษอะไรที่ต่างจากพริกแกงชนิดอื่น?
7. ทำไมนิยมใช้น้ำตาลปี๊บในอาหารไทยมากกว่าน้ำตาลทราย?
8. วัตถุดิบอะไรบ้างที่จำเป็นต้องใช้ในการทำผัดกระเพราหมูสับ?
9. กะทิในอาหารไทยมีประโยชน์และข้อควรระวังอย่างไร?
10. ขนมจีนน้ำยามีกี่ประเภท และแต่ละประเภทมีความแตกต่างกันอย่างไร?
